id,page,section,label,current_text,client_new_text,status,notes,content_path
PRIVACYPOLICY.SECTIONS_SECTION_03.BODY,PRIVACYPOLICY,SECTIONS_SECTION_03,BODY,"We do not sell personal data. Information may be shared only where required for service delivery, legal obligations, or trusted operational support.",,KEEP,,privacyPolicy.sections[id=SECTION_03].body
PRIVACYPOLICY.SECTIONS_SECTION_04.TITLE,PRIVACYPOLICY,SECTIONS_SECTION_04,TITLE,Retention,,KEEP,,privacyPolicy.sections[id=SECTION_04].title
PRIVACYPOLICY.SECTIONS_SECTION_04.BODY,PRIVACYPOLICY,SECTIONS_SECTION_04,BODY,"We retain enquiry data only for as long as needed for business, legal, and compliance purposes.",,KEEP,,privacyPolicy.sections[id=SECTION_04].body
PRIVACYPOLICY.SECTIONS_SECTION_05.TITLE,PRIVACYPOLICY,SECTIONS_SECTION_05,TITLE,Your Rights,,KEEP,,privacyPolicy.sections[id=SECTION_05].title
PRIVACYPOLICY.SECTIONS_SECTION_05.BODY,PRIVACYPOLICY,SECTIONS_SECTION_05,BODY,"You may request access, correction, or deletion of your personal data by contacting service@qualfm.ie.",,KEEP,,privacyPolicy.sections[id=SECTION_05].body
TERMSCONDITIONS.HERO.TITLE,TERMSCONDITIONS,HERO,TITLE,Terms & Conditions,,KEEP,,termsConditions.hero.title
TERMSCONDITIONS.HERO.SUBTITLE,TERMSCONDITIONS,HERO,SUBTITLE,General terms for use of the QualFM website.,,KEEP,,termsConditions.hero.subtitle
TERMSCONDITIONS.SECTIONS_SECTION_01.TITLE,TERMSCONDITIONS,SECTIONS_SECTION_01,TITLE,Website Use,,KEEP,,termsConditions.sections[id=SECTION_01].title
TERMSCONDITIONS.SECTIONS_SECTION_01.BODY,TERMSCONDITIONS,SECTIONS_SECTION_01,BODY,Content on this site is provided for general information about QualFM services and capabilities. It may be updated without notice.,,KEEP,,termsConditions.sections[id=SECTION_01].body
TERMSCONDITIONS.SECTIONS_SECTION_02.TITLE,TERMSCONDITIONS,SECTIONS_SECTION_02,TITLE,No Contractual Offer,,KEEP,,termsConditions.sections[id=SECTION_02].title
TERMSCONDITIONS.SECTIONS_SECTION_02.BODY,TERMSCONDITIONS,SECTIONS_SECTION_02,BODY,"Website content does not constitute a binding offer. Service scope, timelines, and pricing are confirmed through direct engagement and agreed documentation.",,KEEP,,termsConditions.sections[id=SECTION_02].body
TERMSCONDITIONS.SECTIONS_SECTION_03.TITLE,TERMSCONDITIONS,SECTIONS_SECTION_03,TITLE,Intellectual Property,,KEEP,,termsConditions.sections[id=SECTION_03].title
TERMSCONDITIONS.SECTIONS_SECTION_03.BODY,TERMSCONDITIONS,SECTIONS_SECTION_03,BODY,"Logos, branding, and content on this site remain the property of their respective owners unless otherwise stated.",,KEEP,,termsConditions.sections[id=SECTION_03].body
TERMSCONDITIONS.SECTIONS_SECTION_04.TITLE,TERMSCONDITIONS,SECTIONS_SECTION_04,TITLE,External Links,,KEEP,,termsConditions.sections[id=SECTION_04].title
TERMSCONDITIONS.SECTIONS_SECTION_04.BODY,TERMSCONDITIONS,SECTIONS_SECTION_04,BODY,This website may link to third-party websites. QualFM is not responsible for third-party content or privacy practices.,,KEEP,,termsConditions.sections[id=SECTION_04].body
TERMSCONDITIONS.SECTIONS_SECTION_05.TITLE,TERMSCONDITIONS,SECTIONS_SECTION_05,TITLE,Contact,,KEEP,,termsConditions.sections[id=SECTION_05].title
TERMSCONDITIONS.SECTIONS_SECTION_05.BODY,TERMSCONDITIONS,SECTIONS_SECTION_05,BODY,"For terms-related queries, contact service@qualfm.ie.",,KEEP,,termsConditions.sections[id=SECTION_05].body
CLIENTS_CLIENT_01.NAME,CLIENTS_CLIENT_01,NAME,NAME,Thérapie Clinic,,KEEP,,clients[id=CLIENT_01].name
CLIENTS_CLIENT_01.WEBSITEURL,CLIENTS_CLIENT_01,WEBSITEURL,WEBSITEURL,https://therapieclinic.com/ie,,KEEP,,clients[id=CLIENT_01].websiteUrl
CLIENTS_CLIENT_01.LOGOSRC,CLIENTS_CLIENT_01,LOGOSRC,LOGOSRC,https://therapieclinic.com/_next/image?q=75&url=%2Fassets%2Ftherapie-logo-new.webp&w=1536,,KEEP,,clients[id=CLIENT_01].logoSrc
CLIENTS_CLIENT_01.LOGOALT,CLIENTS_CLIENT_01,LOGOALT,LOGOALT,Thérapie Clinic logo,,KEEP,,clients[id=CLIENT_01].logoAlt
CLIENTS_CLIENT_02.NAME,CLIENTS_CLIENT_02,NAME,NAME,Optilase,,KEEP,,clients[id=CLIENT_02].name
CLIENTS_CLIENT_02.WEBSITEURL,CLIENTS_CLIENT_02,WEBSITEURL,WEBSITEURL,https://www.optilase.com/,,KEEP,,clients[id=CLIENT_02].websiteUrl
CLIENTS_CLIENT_02.LOGOSRC,CLIENTS_CLIENT_02,LOGOSRC,LOGOSRC,/images/clients/optilase-icon.png,,KEEP,,clients[id=CLIENT_02].logoSrc
CLIENTS_CLIENT_02.LOGOALT,CLIENTS_CLIENT_02,LOGOALT,LOGOALT,Optilase logo,,KEEP,,clients[id=CLIENT_02].logoAlt
CLIENTS_CLIENT_03.NAME,CLIENTS_CLIENT_03,NAME,NAME,SurgiCube,,KEEP,,clients[id=CLIENT_03].name
CLIENTS_CLIENT_03.WEBSITEURL,CLIENTS_CLIENT_03,WEBSITEURL,WEBSITEURL,https://surgicube.com/,,KEEP,,clients[id=CLIENT_03].websiteUrl
CLIENTS_CLIENT_03.LOGOSRC,CLIENTS_CLIENT_03,LOGOSRC,LOGOSRC,https://surgicube.com/wp-content/uploads/2015/08/geplakte-afbeelding-378-x-129.png,,KEEP,,clients[id=CLIENT_03].logoSrc
CLIENTS_CLIENT_03.LOGOALT,CLIENTS_CLIENT_03,LOGOALT,LOGOALT,SurgiCube logo,,KEEP,,clients[id=CLIENT_03].logoAlt
CLIENTS_CLIENT_04.NAME,CLIENTS_CLIENT_04,NAME,NAME,Dental Medical Ireland,,KEEP,,clients[id=CLIENT_04].name
CLIENTS_CLIENT_04.WEBSITEURL,CLIENTS_CLIENT_04,WEBSITEURL,WEBSITEURL,https://www.dmi.ie/,,KEEP,,clients[id=CLIENT_04].websiteUrl
CLIENTS_CLIENT_04.LOGOSRC,CLIENTS_CLIENT_04,LOGOSRC,LOGOSRC,https://s3-eu-west-1.amazonaws.com/webshop/data/thumbs/c2/c2bd5ed5f997a9cb853bd13f618d27a1ae79e800.png,,KEEP,,clients[id=CLIENT_04].logoSrc
CLIENTS_CLIENT_04.LOGOALT,CLIENTS_CLIENT_04,LOGOALT,LOGOALT,Dental Medical Ireland logo,,KEEP,,clients[id=CLIENT_04].logoAlt
PAGEREGISTRY_PAGE_01.ROUTE,PAGEREGISTRY_PAGE_01,ROUTE,ROUTE,/,,KEEP,,pageRegistry[id=PAGE_01].route
PAGEREGISTRY_PAGE_01.MENULABEL,PAGEREGISTRY_PAGE_01,MENULABEL,MENULABEL,Home,,KEEP,,pageRegistry[id=PAGE_01].menuLabel
PAGEREGISTRY_PAGE_01.STATUS,PAGEREGISTRY_PAGE_01,STATUS,STATUS,active,,KEEP,,pageRegistry[id=PAGE_01].status
PAGEREGISTRY_PAGE_01.OWNER,PAGEREGISTRY_PAGE_01,OWNER,OWNER,QualFM,,KEEP,,pageRegistry[id=PAGE_01].owner
PAGEREGISTRY_PAGE_01.NOTES,PAGEREGISTRY_PAGE_01,NOTES,NOTES,Primary landing page,,KEEP,,pageRegistry[id=PAGE_01].notes
PAGEREGISTRY_PAGE_01.LASTUPDATED,PAGEREGISTRY_PAGE_01,LASTUPDATED,LASTUPDATED,2026-02-08,,KEEP,,pageRegistry[id=PAGE_01].lastUpdated
PAGEREGISTRY_PAGE_02.ROUTE,PAGEREGISTRY_PAGE_02,ROUTE,ROUTE,/about,,KEEP,,pageRegistry[id=PAGE_02].route
PAGEREGISTRY_PAGE_02.MENULABEL,PAGEREGISTRY_PAGE_02,MENULABEL,MENULABEL,About,,KEEP,,pageRegistry[id=PAGE_02].menuLabel
PAGEREGISTRY_PAGE_02.STATUS,PAGEREGISTRY_PAGE_02,STATUS,STATUS,active,,KEEP,,pageRegistry[id=PAGE_02].status
PAGEREGISTRY_PAGE_02.OWNER,PAGEREGISTRY_PAGE_02,OWNER,OWNER,QualFM,,KEEP,,pageRegistry[id=PAGE_02].owner
PAGEREGISTRY_PAGE_02.NOTES,PAGEREGISTRY_PAGE_02,NOTES,NOTES,Company background and values,,KEEP,,pageRegistry[id=PAGE_02].notes
PAGEREGISTRY_PAGE_02.LASTUPDATED,PAGEREGISTRY_PAGE_02,LASTUPDATED,LASTUPDATED,2026-02-08,,KEEP,,pageRegistry[id=PAGE_02].lastUpdated
PAGEREGISTRY_PAGE_03.ROUTE,PAGEREGISTRY_PAGE_03,ROUTE,ROUTE,/services,,KEEP,,pageRegistry[id=PAGE_03].route
PAGEREGISTRY_PAGE_03.MENULABEL,PAGEREGISTRY_PAGE_03,MENULABEL,MENULABEL,Services,,KEEP,,pageRegistry[id=PAGE_03].menuLabel
PAGEREGISTRY_PAGE_03.STATUS,PAGEREGISTRY_PAGE_03,STATUS,STATUS,active,,KEEP,,pageRegistry[id=PAGE_03].status
PAGEREGISTRY_PAGE_03.OWNER,PAGEREGISTRY_PAGE_03,OWNER,OWNER,QualFM,,KEEP,,pageRegistry[id=PAGE_03].owner
PAGEREGISTRY_PAGE_03.NOTES,PAGEREGISTRY_PAGE_03,NOTES,NOTES,Primary technical scope page,,KEEP,,pageRegistry[id=PAGE_03].notes
PAGEREGISTRY_PAGE_03.LASTUPDATED,PAGEREGISTRY_PAGE_03,LASTUPDATED,LASTUPDATED,2026-02-08,,KEEP,,pageRegistry[id=PAGE_03].lastUpdated
PAGEREGISTRY_PAGE_04.ROUTE,PAGEREGISTRY_PAGE_04,ROUTE,ROUTE,/contact,,KEEP,,pageRegistry[id=PAGE_04].route
PAGEREGISTRY_PAGE_04.MENULABEL,PAGEREGISTRY_PAGE_04,MENULABEL,MENULABEL,Contact,,KEEP,,pageRegistry[id=PAGE_04].menuLabel
PAGEREGISTRY_PAGE_04.STATUS,PAGEREGISTRY_PAGE_04,STATUS,STATUS,active,,KEEP,,pageRegistry[id=PAGE_04].status
PAGEREGISTRY_PAGE_04.OWNER,PAGEREGISTRY_PAGE_04,OWNER,OWNER,QualFM,,KEEP,,pageRegistry[id=PAGE_04].owner
PAGEREGISTRY_PAGE_04.NOTES,PAGEREGISTRY_PAGE_04,NOTES,NOTES,Enquiry and direct contact page,,KEEP,,pageRegistry[id=PAGE_04].notes
PAGEREGISTRY_PAGE_04.LASTUPDATED,PAGEREGISTRY_PAGE_04,LASTUPDATED,LASTUPDATED,2026-02-08,,KEEP,,pageRegistry[id=PAGE_04].lastUpdated
PAGEREGISTRY_PAGE_05.ROUTE,PAGEREGISTRY_PAGE_05,ROUTE,ROUTE,/privacy-policy,,KEEP,,pageRegistry[id=PAGE_05].route
PAGEREGISTRY_PAGE_05.MENULABEL,PAGEREGISTRY_PAGE_05,MENULABEL,MENULABEL,Privacy Policy,,KEEP,,pageRegistry[id=PAGE_05].menuLabel
PAGEREGISTRY_PAGE_05.STATUS,PAGEREGISTRY_PAGE_05,STATUS,STATUS,active,,KEEP,,pageRegistry[id=PAGE_05].status
PAGEREGISTRY_PAGE_05.OWNER,PAGEREGISTRY_PAGE_05,OWNER,OWNER,QualFM,,KEEP,,pageRegistry[id=PAGE_05].owner
PAGEREGISTRY_PAGE_05.NOTES,PAGEREGISTRY_PAGE_05,NOTES,NOTES,Legal page,,KEEP,,pageRegistry[id=PAGE_05].notes
PAGEREGISTRY_PAGE_05.LASTUPDATED,PAGEREGISTRY_PAGE_05,LASTUPDATED,LASTUPDATED,2026-02-08,,KEEP,,pageRegistry[id=PAGE_05].lastUpdated
PAGEREGISTRY_PAGE_06.ROUTE,PAGEREGISTRY_PAGE_06,ROUTE,ROUTE,/terms,,KEEP,,pageRegistry[id=PAGE_06].route
PAGEREGISTRY_PAGE_06.MENULABEL,PAGEREGISTRY_PAGE_06,MENULABEL,MENULABEL,Terms & Conditions,,KEEP,,pageRegistry[id=PAGE_06].menuLabel
PAGEREGISTRY_PAGE_06.STATUS,PAGEREGISTRY_PAGE_06,STATUS,STATUS,active,,KEEP,,pageRegistry[id=PAGE_06].status
PAGEREGISTRY_PAGE_06.OWNER,PAGEREGISTRY_PAGE_06,OWNER,OWNER,QualFM,,KEEP,,pageRegistry[id=PAGE_06].owner
PAGEREGISTRY_PAGE_06.NOTES,PAGEREGISTRY_PAGE_06,NOTES,NOTES,Legal page,,KEEP,,pageRegistry[id=PAGE_06].notes
PAGEREGISTRY_PAGE_06.LASTUPDATED,PAGEREGISTRY_PAGE_06,LASTUPDATED,LASTUPDATED,2026-02-08,,KEEP,,pageRegistry[id=PAGE_06].lastUpdated
APPENDIX.NEW_01,APPENDIX,NEW_REQUEST,TEXT,,,NEW_REQUEST,,
APPENDIX.NEW_02,APPENDIX,NEW_REQUEST,TEXT,,,NEW_REQUEST,,
